陆军（步兵）
海军
空军（航空兵）
火箭军
航天力量
装甲兵
炮兵
防空兵
陆军航空兵
侦察兵
海军航空兵
海军陆战队
空降兵
特种兵
电子对抗兵
通信兵
技术侦察兵
雷达兵
工程兵
防化兵
机要
测绘导航
气象水文
心理战兵
预备役部队
武装警察部队
民兵组织
基本指挥所
基本指挥所_旗面不透明
基本指挥所_二级
指挥所_三级
联合作战基本指挥所
预备指挥所
前进指挥所
后方指挥所
后勤指挥所
装备指挥所
地下基本指挥所
专项指挥机构
观察所
指挥观察所
营指挥观察所
集团军(军)级
副大军区级
军区(战区)级
团级
旅级
师级
排级
连级
营级
班长
排长
副连长
政治指导员
副政治教导员
组长
预备役连长
士兵
轻机枪
重机枪
狙击步枪
高射机枪
防爆枪
反坦克火箭
单兵火箭
榴弹发射器
防暴弹发射器
加农炮
榴弹炮
滑膛炮
火箭炮
无后坐力炮
自行榴弹炮
加农榴炮弹
迫击炮
速射迫击炮
迫榴炮
突击炮
海岸炮
机动式海岸炮
高射炮
自行高射炮
弹炮结合防空武器系统
陆基弹道式近程导弹
陆基弹道式中程核导弹
陆基弹道式远程核导弹
陆基弹道式洲际核导弹
陆基弹道式中程常规导弹
陆基弹道式远程常规导弹
海基弹道式导弹
陆基巡航式近程导弹
陆基巡航式中程导弹
陆基巡航式远程导弹
海基巡航式导弹
空基巡航式导弹
地空导弹
便携式地空导弹
岸舰导弹
机动岸舰导弹
反坦克导弹
车载反坦克导弹
水陆坦克
轻型坦克
轮式坦克(轮式装甲突击车)
安装扫雷具的坦克
担负侦察任务的坦克
步兵战车
轮式步兵战车
两栖步兵战车
伞兵战车
装甲输送车
两栖装甲输送车
装甲侦察车
指挥车
装甲指挥车
导弹发射车
伞兵突击车
坦克分队指挥车
航空母舰
核动力航空母舰
巡洋舰
驱逐舰
护卫舰
猎潜舰
扫雷舰
猎扫雷舰
布雷舰
坦克登陆舰
船坞登陆舰
两栖攻击舰
护卫艇
导弹艇
导弹护卫艇
鱼雷艇
猎潜艇
扫雷艇
冲锋舟
登陆艇
登陆破障艇
气垫艇
潜艇
核动力潜艇
弹道导弹核动力潜艇
飞航导弹潜艇
水下运行器
勤务船
战斗支援舰
侦察船
运输船
医院船
救生船
民用船只
民兵船
指挥机
预警机
预警指挥机
歼击机
强击机
轰炸机
歼击轰炸机
反潜机
侦察机
电子干扰机
心理战飞机
运输机
民航飞机
加油机
地效飞机
无人机
水上飞机
直升机
指挥直升机
攻击直升机
反潜直升机
运输直升机
无人直升机
勤务直升机
通用直升机
飞艇
动力三角翼飞行器
运载火箭
航天飞机
空天飞机
军用卫星
侦查监视卫星
预警卫星
通讯卫星
导航卫星
电子对抗卫星
飞船
空间站
空间作战飞行器
临近空间飞行器
对天武器
地面传感器
夜视侦查设备
战场侦察电视设备
侦察车
情报站
技术侦查情报中心
图像侦查站
电子侦查站
无线电通信侦察站
空间目标侦察站
无线电通信测向站
电磁频谱监测站
侦视器
侦察机器人
无人侦察机设备站
网络侦察与攻击站
技术安全检查站
密码机
机要车
密码电报网络系统
通信枢纽
地上固定通信枢纽
地下固定通信枢纽
干线通信枢纽
车载通信枢纽
舰载通信枢纽
机载通信枢纽
指挥所通信枢纽
网络控制中心
干线节点
入口节点
通信车
小型电台
多部小型电台
大中型电台
多部同类型电台
无线电接收机
多部同类型无线电接收机
集中发信台
集中收信台
卫星通信地球站
散射通信站
流星余迹通信站
数据链地面站
电话自动交换站
长途台
通信值班室
通信电缆线路
线路维护哨
指挥信息系统网络主干节点
指挥信息系统网络信息中心
电磁频谱管理控制中心
电磁频谱监测控制中心
电磁频谱探测控制中心
短波频谱监测站
信息防护中心
无线电导航台
陆基常规对空情报雷达
陆基特种对空情报雷达
陆基远程对空情报雷达
天波超视距雷达
地波超视距雷达
相控阵雷达
空基预警雷达
炮瞄雷达
气象雷达
雷达探测范围
雷达情报站
雷达观通站
水声站
水声浮标
被动式水声浮标
炮兵声测侦查中央所
声测哨标
雷达对抗侦察站
光电对抗侦察站
短波无线电通信干扰站
超短波无线电通信干扰站
短波通信对抗系统
超短波通信对抗系统
通信对抗系统控制站
无线电引信干扰站
无源干扰站
电子对抗干扰系统
预警机干扰系统
敌我识别干扰系统
卫星干扰系统
水声对抗干扰系统
网络目标
网络关键点
网络战系统
网络侦查系统
网络攻击系统
网络防护系统
跳板机
堑壕
交通壕
通路
坑道
掩体
坦克掩体
有坦克的掩体
野战工事
永备工事
野战掩蔽部
永备掩蔽部
地堡
街垒
一列桩铁丝网
二列桩铁丝网
三列桩铁丝网
屋顶形铁丝网
低桩铁丝网
电网
蛇腹形铁丝网
桩砦
防坦克壕
阻绝墙
防潜网
栏障
栅网
空中栏障
浮游栏障
拒马
水平遮障
垂直遮障
掩盖遮障
反雷达假桥
火箭爆破器
防爆罐
排爆机器人
防坦克地雷
防步兵地雷
水雷
可操纵防坦克地雷群
混合地雷场
有化学地雷的混合地雷场
防坦克三角锥场
防空降障碍场
雷炮阵地
正在修建或未修复的道路
道路破坏地段
桥梁破坏地段
迂回道路
加修道路
急造军路
过水路面
徒涉场
泅渡场
坦克潜渡场
桥渡场
冰上渡场
门桥渡场
轻便器材渡场
码头
浮码头
舟桥
自行门桥
机械化桥
工程机械车
伪装作业车
布雷车
探雷车
破障车
清障车
机械化路面车
岗楼
防化车
喷洒车
淋浴车
多功能洗消车
烟幕
防化集束发射器
喷火器
核危害源
化学危害源
测绘产品库
测绘保障车
气象车
测绘导航中心
卫星导航定位终端
气象水文中心
海洋水文气象浮标
海洋水文潜标
汽车
运油(加油)车
野战站台车
野战炊事车
救护车
工程装备保障车
装甲修理车
装甲运油(加油)车
装甲救护车
坦克抢救车
装甲抢救车
特装车
铁路车辆
铁路列车
油罐
水罐(囊)
输送管线
油泵站
加油站
地方加油站
野战给水站
帐篷
军用方舱
指挥方舱
医疗方舱
修理方舱
喊话器
传单
宣传品
网络心理战系统
固定广播发射系统
机动广播系统
野战卫星新闻传播车
行军纵队
摩托化步兵行军纵队
坦克行军纵队
坦克和步兵战车行军纵队
坦克和步兵战车行军纵队_旗
装甲输送车行军纵队
装甲输送车行军纵队_旗
炮兵行军纵队
炮兵行军纵队_旗
防空兵行军纵队
防空兵行军纵队_旗
地地导弹部队行军纵队
地地导弹部队行军纵队_旗
铁路输送
公路输送
水路输送
空中输送
直升机空中输送
部队行动控制线
调整线
冲击出发线
出发线
协调线
观察哨
核生化观测哨
侦查监视区
地面机动技术侦察
侦察搜索
步哨
调整哨
潜伏哨
游动哨
侦查发现的敌目标区
俘虏
尸体
不明物体
执勤目标
警卫目标
部(分)队、群
数字化部(分)队
预备役部(分)队
民兵部(分)队
联合部队
联合登岛作战集团
联合预备队
联合保障部队
收容队
机动部(分)队
高射炮机动防空队
地空导弹机动防空队
预备队
工程兵预备队
防化兵预备队
通信兵预备队
炮兵预备队
反坦克预备队
电子对抗兵预备队
反空降预备队
组
侦察组
引导组
部队占领(集结)地域
空降场
